rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11861,content_1a4f1c4e1288,client_a88a7902cb,0.5885436250414435,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,transactional,175,0,6.1,0.0,28,153,down
11862,content_56f5ff2d117d,client_19581e27de,0.588507904016662,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,186,0,49.6,0.0,104,313,up
11863,content_61f4a24677e0,client_4e07408562,0.5884865639814444,monitor,none,False,False,False,False,False,False,False,keyword article,informational,2441,4,12.7,0.16,13,390,down
11864,content_a6045100d027,client_6208ef0f77,0.588479344729086,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,106,0,7.0,0.0,104,236,down
11865,content_660e169743eb,client_d029fa3a95,0.5884473960666278,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,42,0,8.2,0.0,20,203,stable
11866,content_f8c185f9dfdc,client_3fdba35f04,0.5884061772245716,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,1211,1,13.0,0.08,20,165,down
11867,content_5f6999309bb5,client_f369cb89fc,0.5883804686056479,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,96,0,4.3,0.0,20,117,up
11868,content_9af1872320a1,client_7f2253d7e2,0.5883740450275619,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,444,0,32.7,0.0,20,110,down
11869,content_39381b88959f,client_a88a7902cb,0.58836577760534,monitor,none,False,False,False,False,False,False,False,keyword article,commercial,2,0,3.0,0.0,20,148,stable
11870,content_93fd267ecab0,client_3fdba35f04,0.5883651596655235,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,commercial,1063,12,9.7,1.13,20,111,up
11871,content_aa0e64e7589f,client_19581e27de,0.588307117029211,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,commercial,4117,17,5.4,0.41,104,257,stable
11872,content_b901c750520b,client_7f2253d7e2,0.5882983128635604,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,417,1,23.2,0.24,20,168,down
11873,content_9ce4d5efdd4b,client_d029fa3a95,0.5882879645839356,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,comparison article,informational,107,0,24.6,0.0,20,130,down
11874,content_d02fcc3c5566,client_6208ef0f77,0.5882876065285098,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,informational,905,2,19.5,0.22,104,124,down
